22, open
1, closed
2, closed
3, closed
4, closed
5, closed
6, closed
7, closed
8, closed
9, closed
10, closed
11, closed
12, closed
13, closed
14, closed
15, closed
16, closed
17, closed
18, closed
19, closed
20, closed
21, closed
23, closed
24, closed
25, closed
26, closed
27, closed
28, closed
29, closed
30, closed
31, closed
32, closed
33, closed
34, closed
35, closed
36, closed
37, closed
38, closed
39, closed
40, closed
41, closed
42, closed
43, closed
44, closed
45, closed
46, closed
47, closed
48, closed
49, closed
50, closed
51, closed
52, closed
53, closed
54, closed
55, closed
56, closed
57, closed
58, closed
59, closed
60, closed
61, closed
62, closed
63, closed
64, closed
65, closed
66, closed
67, closed
68, closed
69, closed
70, closed
71, closed
72, closed
73, closed
74, closed
75, closed
76, closed
77, closed
78, closed
79, closed
80, closed
81, closed
82, closed
83, closed
84, closed
85, closed
86, closed
87, closed
88, closed
89, closed
90, closed
91, closed
92, closed
93, closed
94, closed
95, closed
96, closed
97, closed
98, closed
99, closed
100, closed
101, closed
102, closed
103, closed
104, closed
105, closed
106, closed
107, closed
108, closed
109, closed
110, closed
111, closed
112, closed
113, closed
114, closed
115, closed
116, closed
117, closed
118, closed
119, closed
120, closed
121, closed
122, closed
123, closed
124, closed
125, closed
126, closed
127, closed
128, closed
129, closed
130, closed
131, closed
132, closed
133, closed
134, closed
135, closed
136, closed
137, closed
138, closed
139, closed
140, closed
141, closed
142, closed
143, closed
144, closed
145, closed
146, closed
147, closed
148, closed
149, closed
150, closed
151, closed
152, closed
153, closed
154, closed
155, closed
156, closed
157, closed
158, closed
159, closed
160, closed
161, closed
162, closed
163, closed
164, closed
165, closed
166, closed
167, closed
168, closed
169, closed
170, closed
171, closed
172, closed
173, closed
174, closed
175, closed
176, closed
177, closed
178, closed
179, closed
180, closed
181, closed
182, closed
183, closed
184, closed
185, closed
186, closed
187, closed
188, closed
189, closed
190, closed
191, closed
192, closed
193, closed
194, closed
195, closed
196, closed
197, closed
198, closed
199, closed
200, closed
201, closed
202, closed
203, closed
204, closed
205, closed
206, closed
207, closed
208, closed
209, closed
210, closed
211, closed
212, closed
213, closed
214, closed
215, closed
216, closed
217, closed
218, closed
219, closed
220, closed
221, closed
222, closed
223, closed
224, closed
225, closed
226, closed
227, closed
228, closed
229, closed
230, closed
231, closed
232, closed
233, closed
234, closed
235, closed
236, closed
237, closed
238, closed
239, closed
240, closed
241, closed
242, closed
243, closed
244, closed
245, closed
246, closed
247, closed
248, closed
249, closed
250, closed
251, closed
252, closed
253, closed
254, closed
255, closed
256, closed
257, closed
258, closed
259, closed
260, closed
261, closed
262, closed
263, closed
264, closed
265, closed
266, closed
267, closed
268, closed
269, closed
270, closed
271, closed
272, closed
273, closed
274, closed
275, closed
276, closed
277, closed
278, closed
279, closed
280, closed
281, closed
282, closed
283, closed
284, closed
285, closed
286, closed
287, closed
288, closed
289, closed
290, closed
291, closed
292, closed
293, closed
294, closed
295, closed
296, closed
297, closed
298, closed
299, closed
300, closed
301, closed
302, closed
303, closed
304, closed
305, closed
306, closed
307, closed
308, closed
309, closed
310, closed
311, closed
312, closed
313, closed
314, closed
315, closed
316, closed
317, closed
318, closed
319, closed
320, closed
321, closed
322, closed
323, closed
324, closed
325, closed
326, closed
327, closed
328, closed
329, closed
330, closed
331, closed
332, closed
333, closed
334, closed
335, closed
336, closed
337, closed
338, closed
339, closed
340, closed
341, closed
342, closed
343, closed
344, closed
345, closed
346, closed
347, closed
348, closed
349, closed
350, closed
351, closed
352, closed
353, closed
354, closed
355, closed
356, closed
357, closed
358, closed
359, closed
360, closed
361, closed
362, closed
363, closed
364, closed
365, closed
366, closed
367, closed
368, closed
